code,name,url,height,weight,birth,birthplace,draft_team,draft_pos,debut_yr,exp,active_now,college,rec_rank
abrinal01,Álex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,198,90,1993-08-01,Spain,OKC,32.0,2016.0,3,1,,
achiupr01,Precious Achiuwa,https://www.basketball-reference.com/players/a/achiupr01.html,203,102,1999-09-19,Nigeria,MIA,20.0,2020.0,1,1,Memphis,14.0
acyqu01,Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,201,108,1990-10-06,Texas,TOR,37.0,2012.0,7,1,Baylor,
adamsja01,Jaylen Adams,https://www.basketball-reference.com/players/a/adamsja01.html,183,102,1996-05-04,Maryland,,,2018.0,3,1,St Bonaventure,
adamsjo01,Jordan Adams,https://www.basketball-reference.com/players/a/adamsjo01.html,196,94,1994-07-08,Georgia,MEM,22.0,2014.0,2,0,UCLA,59.0
adamsst01,Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html,211,120,1993-07-20,New Zealand,OKC,12.0,2013.0,8,1,Pitt,5.0
adebaba01,Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,206,115,1997-07-18,New Jersey,MIA,14.0,2017.0,4,1,Kentucky,8.0
adelde01,Deng Adel,https://www.basketball-reference.com/players/a/adelde01.html,201,90,1997-02-01,South Sudan,,,2019.0,1,1,Louisville,34.0
adrieje01,Jeff Adrien,https://www.basketball-reference.com/players/a/adrieje01.html,201,111,1986-02-10,Massachusetts,,,2010.0,5,0,UConn,53.0
afflaar01,Arron Afflalo,https://www.basketball-reference.com/players/a/afflaar01.html,196,95,1985-10-15,California,DET,27.0,2007.0,11,0,UCLA,26.0
agerma01,Maurice Ager,https://www.basketball-reference.com/players/a/agerma01.html,196,91,1984-02-09,Michigan,DAL,28.0,2006.0,4,0,Michigan State,54.0
ahearbl01,Blake Ahearn,https://www.basketball-reference.com/players/a/ahearbl01.html,188,86,1984-05-27,Missouri,,,2008.0,3,0,Missouri State,
ajincal01,Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,218,112,1988-05-06,France,CHA,20.0,2008.0,7,0,,
akognjo01,Josh Akognon,https://www.basketball-reference.com/players/a/akognjo01.html,180,83,1986-02-10,California,,,2013.0,1,0, Washington State Cal State Fullerton,
akoonde01,DeVaughn Akoon-Purcell,https://www.basketball-reference.com/players/a/akoonde01.html,198,90,1993-06-05,Florida,,,2018.0,1,1,Illinois State,
alabiso01,Solomon Alabi,https://www.basketball-reference.com/players/a/alabiso01.html,216,113,1988-03-21,Nigeria,DAL,50.0,2010.0,2,0,Florida State,24.0
aldamsa01,Santi Aldama,https://www.basketball-reference.com/players/a/aldamsa01.html,211,101,2001-01-10,Spain,UTA,30.0,2021.0,0,1,Loyola MD,
